food_name,energy_kcal,carb_g,protein_g,fat_g,servings_unit,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g
Moong dal with vadi,24.08,1.00,0.40,2.05,curry bowl,87.28,3.61,1.44,7.42
Moti mahal dal (Urad rajmah mix dal),103.13,8.74,3.93,5.66,bowl,295.72,25.06,11.27,16.22
Mulligatawny soup,54.42,8.24,11.26,13.28,bowl,189.85,28.73,39.30,46.31
Murmura (Puffed rice),113.32,15.67,3.62,4.04,bowl,315.02,43.56,10.06,11.24
Murmura chikki,253.82,59.59,2.12,0.32,piece,66.63,15.64,0.56,0.08
Mushroom and cheese sandwich (toasted),227.42,21.01,7.79,13.01,triangle,172.27,15.92,5.90,9.85
Mushroom matar,70.77,5.33,2.79,4.11,bowl,186.06,14.02,7.34,10.80
Mushroom pulao,124.29,19.02,2.52,4.03,plate,445.44,68.16,9.04,14.44
Mushroom sauce,137.56,7.31,3.39,10.51,,,,,
Mustard sauce,158.58,8.29,3.98,12.17,,,,,
Mustard seeds baghar (Mustard seed tadka),552.59,10.45,4.73,54.30,,,,,
Mutton biryani/biriyani,190.76,22.50,7.38,7.72,plate,396.43,46.75,15.33,16.05
Mutton chops,663.64,1.48,4.03,71.31,chop,2320.31,5.17,14.09,249.34
Mutton do piaza,183.30,4.14,9.39,14.41,bowl,603.07,13.61,30.88,47.41
Mutton korma,115.64,2.53,7.09,8.54,bowl,423.78,9.28,25.99,31.28
Mutton pulao,130.77,11.26,6.52,10.78,plate,866.53,74.61,43.19,71.43
Mutton seekh kebab,133.94,3.11,11.25,8.43,kebab,60.25,1.40,5.06,3.79
Mutton yakhni,104.13,0.84,8.27,7.70,bowl,241.73,1.96,19.20,17.88
Naan,286.45,51.75,8.05,4.99,naan,152.30,27.52,4.28,2.65
Namkeen daliya,295.11,49.32,8.29,7.99,plate,346.14,57.85,9.72,9.37
Nannari sharbat,88.79,23.62,0.01,0.01,cup,990.01,263.41,0.12,0.11
Navratan pulao,261.71,36.98,6.20,9.45,plate,479.19,67.71,11.35,17.31
Oatmeal Porridge,72.85,8.77,2.60,3.22,bowl,289.96,34.89,10.33,12.82
Oats burfi,425.19,62.47,8.89,17.27,piece,256.18,37.64,5.35,10.40
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.81,4.50,1.83,9.27,bowl,184.32,7.49,3.04,15.43
Olive biscuit,438.29,55.01,3.20,23.75,biscuit,207.31,26.02,1.52,11.23
Onion chutney (Pyaaz ki chutney/Vengaya chutney),143.94,13.52,2.97,8.38,cup,75.51,7.09,1.56,4.40
Onion pakora/pakoda (Pyaaz ke pakode),674.61,5.41,1.90,71.84,plate,4550.25,36.50,12.81,484.55
Onion raita (Pyaaz ka raita),71.56,7.86,4.86,2.43,bowl,111.99,12.31,7.60,3.80
Onion tomato baghar (Pyaaz tamatar ka tadka),137.52,6.17,1.26,11.98,,,,,
Onion tomato uttapam,462.02,11.32,1.91,45.30,uttapam,644.32,15.78,2.66,63.18
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),191.27,26.37,4.37,7.27,parantha,146.23,20.16,3.34,5.56
Orange and pineapple cream,101.18,11.96,1.44,5.43,bowl,90.18,10.66,1.28,4.84
Orange biscuit,354.78,62.11,3.63,11.01,biscuit,214.64,37.58,2.19,6.66
Orange cake,357.61,48.28,6.10,16.21,piece,186.18,25.13,3.18,8.44
Orange chiffon pie,207.57,23.14,3.89,11.16,pie,1449.87,161.61,27.15,77.94
Orange cream flan,280.28,36.16,4.73,13.59,flan,1132.77,146.15,19.14,54.91
Orange cream tart,197.16,27.43,2.58,8.72,tart,142.32,19.80,1.86,6.30
Orange eggless cake,355.62,52.65,7.16,13.82,piece,352.66,52.21,7.10,13.71
Orange gateau,178.05,27.01,4.78,6.02,piece,142.10,21.56,3.81,4.81
Orange marmalade (Santray ka murabba),104.17,25.94,0.66,0.13,,,,,
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,tall glass,183.44,22.71,5.96,8.06
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),67.82,9.15,1.95,2.75,tall glass,230.57,31.11,6.63,9.35
Orange omelette/omlet,194.66,1.68,8.93,16.84,egg,147.94,1.27,6.79,12.80
Orange souffle,168.28,14.20,6.80,9.73,souffle cup,410.61,34.65,16.59,23.73
Orange squash (Santre ka squash),193.26,50.88,0.22,0.04,,,,,
Paaner do pyaza,127.70,3.41,4.22,10.87,bowl,296.11,7.90,9.78,25.20
Pancake,203.36,20.49,5.68,10.82,pancake,85.97,8.66,2.40,4.57
Panchmel dal,111.22,10.71,4.63,5.36,bowl,334.60,32.22,13.91,16.11
Paneer and pea samosa (Paneer matar ka samosa),623.81,8.55,4.02,63.65,samosa,841.31,11.53,5.42,85.84
Paneer curry,176.52,8.40,7.80,12.38,bowl,357.15,16.99,15.78,25.06
Paneer cutlet,672.20,7.62,4.59,69.38,cutlet,1215.57,13.77,8.30,125.46
Paneer in butter sauce,145.61,9.70,6.99,8.81,bowl,228.30,15.21,10.95,13.81
Paneer kaathi roll,285.94,20.10,6.92,19.55,kaathi roll,424.15,29.82,10.26,29.01
Paneer kheer,105.31,10.03,4.53,5.37,bowl,304.78,29.03,13.10,15.55
Paneer kofta curry,670.91,3.27,2.39,72.06,bowl,4703.08,22.92,16.72,505.16
Paneer lababdar,105.48,3.37,3.98,8.46,bowl,403.24,12.87,15.23,32.36
Paneer makhana korma,775.82,4.63,3.24,82.76,bowl,4709.20,28.12,19.68,502.34
Paneer pakora/pakoda,718.12,5.52,3.27,76.05,plate,4644.45,35.73,21.15,491.86
Paneer parantha/paratha,262.97,24.33,7.98,14.62,parantha,223.60,20.68,6.79,12.43
Paneer patties,338.58,22.79,7.60,23.96,patty,340.99,22.96,7.65,24.13
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,24.05,12.40,11.98,toasted triangle,221.79,21.38,11.02,10.64
Paneer potato cutlet (Paneer aloo cutlet),672.94,5.23,2.47,71.40,cutlet,2309.88,17.95,8.48,245.09
Paneer pulao,581.91,8.76,1.98,59.81,plate,4875.84,73.38,16.63,501.14
Paneer shaslik/tikka,93.85,7.98,5.11,4.49,plate,411.69,35.01,22.43,19.71
Paneer soup,47.85,2.42,3.22,2.80,bowl,292.25,14.81,19.68,17.11
Paneer stuffed cheela/chilla,205.19,19.16,11.44,8.89,cheela,435.68,40.68,24.28,18.87
"Paneer, apple and pineapple salad",95.08,8.35,3.88,5.07,bowl,245.07,21.52,10.01,13.06
Papdi,708.96,12.89,1.83,72.11,plate,1231.38,22.39,3.18,125.25
Parsley potato,119.51,13.81,1.49,6.28,bowl,129.67,14.99,1.62,6.81
Pasta cheese sauce,149.26,9.00,4.33,10.84,,,,,
Pasta hot pot,125.17,11.60,5.84,6.47,plate,1040.71,96.46,48.53,53.76
Pasta salad,190.36,12.70,4.15,13.92,bowl,410.70,27.39,8.96,30.03
Pasta spinach sauce,85.46,1.76,1.76,7.90,,,,,
Paushtik ladoo,485.87,60.34,7.65,24.98,ladoo,170.06,21.12,2.68,8.74
Paushtik roti,149.26,26.59,7.17,1.51,roti,64.10,11.42,3.08,0.65
Pav bhaji,96.53,11.99,2.66,4.32,,560.98,69.70,15.46,25.09
Pav bhaji masala,230.47,29.15,9.13,10.96,gm,2.62,0.33,0.10,0.12
Pavlova,200.60,21.84,1.84,12.29,meringue,725.45,79.00,6.67,44.44
Pea curry (Matar ki sabzi),102.99,9.20,4.51,5.11,bowl,285.63,25.50,12.51,14.17
Pea keema curry (Matar keema ki sabzi),133.00,6.24,8.43,8.14,bowl,457.30,21.46,29.00,27.98
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,20.26,11.06,5.61,toasted triangle,145.39,17.14,9.36,4.75
Pea kofta curry (Matar kofta curry),595.66,4.17,2.01,63.39,bowl,4649.16,32.53,15.69,494.78
Pea mushroom curry (Matar mushroom),93.30,7.41,3.87,5.16,bowl,258.74,20.55,10.73,14.31
Pea paneer curry (Matar paneer),134.83,9.29,6.61,7.75,bowl,373.94,25.77,18.32,21.49
Pea parantha/paratha (Matar ka parantha/paratha),190.73,21.51,5.59,8.80,parantha,206.68,23.31,6.06,9.53
Pea potato curry (Aloo matar),100.92,9.74,3.48,5.13,bowl,279.89,27.01,9.66,14.22
Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.90,25.17,4.60,5.43,toasted triangle,146.56,22.37,4.09,4.82
Pea vadi curry,101.95,8.90,4.64,5.08,bowl,292.93,25.57,13.32,14.59
Peach blueberry preserves,177.38,45.76,0.53,0.20,half-pints,685.58,176.88,2.03,0.78
Peach melba ice cream,200.85,16.31,2.06,14.51,sundae glass,460.14,37.36,4.71,33.23
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,triangle,177.04,17.34,5.79,9.80
Peanut biscuit,401.05,46.72,8.45,20.41,biscuit,71.30,8.31,1.50,3.63
Peanut brittle (Moongfali ki chikki),320.46,47.46,6.94,11.13,piece,78.91,11.69,1.71,2.74
Peanut burfi (Moongfali ki burfi),550.99,48.14,9.31,36.84,burfi,116.63,10.19,1.97,7.80
Peanut butter cucumber sandwich,243.33,29.76,9.04,10.56,sandwich,134.44,16.44,5.00,5.83
Peanut chutney (Mungfali ki chutney),258.37,9.87,11.80,19.06,tablespoon,54.26,2.07,2.48,4.00
Peanut cutlet (Mungfali ke cutlet),698.77,5.68,2.63,74.00,cutlet,2367.67,19.23,8.90,250.75
Peanut pulao ,193.28,21.18,5.32,9.51,plate,691.73,75.81,19.03,34.05
Peanut raita (Mungfali ka raita),150.39,9.30,8.59,8.98,bowl,184.48,11.41,10.54,11.02
Peanut sago vada (Sabudana mungfali vada),749.89,7.14,1.01,79.82,vada,2291.54,21.82,3.10,243.93
Pear chocholate sunday,183.49,15.02,2.08,13.11,sundae glass,447.25,36.60,5.08,31.96
Pear preserves (Naashpati ka murabba),101.24,25.67,0.25,0.19,half-pints,603.53,153.00,1.50,1.11
Pearl millet infant food (Bajra shishu aahaar),362.44,62.10,11.98,6.62,,181.22,31.05,5.99,3.31
Pearl millet ladoo (Bajra ladoo),319.66,50.98,9.61,8.06,ladoo,151.84,24.22,4.57,3.83
Pearl millet mathri (Bajra mathri),785.08,7.42,1.82,83.12,piece,1178.60,11.14,2.74,124.79
Peas brinjal bhartha (Matar baingan bhartha),84.55,5.02,2.05,6.05,small bowl,221.23,13.13,5.37,15.84
Peas kachori (Matar kachori),584.68,13.25,3.21,57.51,kachori,632.21,14.32,3.47,62.18
Peas poori (Matar ki poori),592.83,14.92,3.04,57.69,poori,496.79,12.50,2.54,48.35
Peas pulao (Matar pulao),108.87,18.42,3.89,1.90,plate,513.75,86.90,18.38,8.98
Penne platter,177.40,20.87,5.04,8.71,plate,463.90,54.58,13.18,22.78
Phirni,116.12,16.11,3.49,4.34,bowl,337.00,46.75,10.12,12.61
Pickled cabbage ,13.69,2.56,0.39,0.14,jar,35.51,6.64,1.01,0.35
Pickled mustard greens ,13.12,1.05,1.51,0.22,jar,154.13,12.34,17.73,2.61
Pin wheel biscuit,404.60,54.56,5.40,18.66,biscuit,80.41,10.84,1.07,3.71
Pin wheel sandwich,311.52,14.00,8.77,24.93,triangle,86.84,3.90,2.44,6.95
Pineapple cake ,195.57,23.51,5.01,9.34,slice,1003.28,120.60,25.72,47.93
Pineapple jam ,149.18,38.27,0.32,0.15,,,,,
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,tall glass,203.09,27.79,6.05,8.12
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),68.49,9.33,1.93,2.75,tall glass,232.87,31.71,6.56,9.36
Pineapple pastry ,208.21,29.04,6.06,7.87,pastry,189.99,26.50,5.53,7.19
Pineapple raita (Ananas ka raita),67.74,8.62,3.90,2.02,bowl,107.60,13.69,6.19,3.21
Pineapple souffle ,196.14,15.52,8.06,11.72,souffle cup,396.21,31.34,16.29,23.68
Pineapple squash (Ananas ka squash),195.02,51.34,0.16,0.05,,,,,
Pineapple tart,195.40,28.62,2.29,8.21,tart,150.83,22.09,1.77,6.34
Pineapple upside down pudding,257.73,35.73,3.15,11.91,large slice,344.40,47.75,4.21,15.92
Pizza,146.77,9.94,6.85,8.72,slice,436.35,29.56,20.36,25.94
Plain burfi (Burfi),408.32,30.88,9.82,27.96,burfi,177.85,13.45,4.28,12.18
Plain cream cake,353.94,47.18,6.18,16.17,piece,188.47,25.13,3.29,8.61
Plain dosa,380.91,64.08,10.34,8.43,dosa,137.60,23.15,3.73,3.05
Plain khitchdi (Plain khichri/khichdi),57.03,10.04,1.72,1.01,small bowl,327.36,57.64,9.86,5.78
Plain omelette/omlet,272.41,0.64,9.66,25.74,omelette,389.55,0.92,13.82,36.81
Plain parantha/paratha,298.30,30.69,5.06,16.86,parantha,166.31,17.11,2.82,9.40
Plain pulao,140.21,21.82,2.34,4.62,plate,431.70,67.17,7.20,14.23
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),745.50,9.70,4.39,76.32,vada,588.01,7.65,3.46,60.19
Plum chutney (Aloo bukhara ki chutney),177.11,44.95,0.47,0.29,,,,,
Plum jam (Aloo bukhara jam),178.89,46.20,0.31,0.19,,,,,
Plum squash (Aloo bukhara squash),211.17,55.51,0.16,0.10,,,,,
Poached egg,123.87,0.37,11.98,8.19,egg,69.37,0.21,6.71,4.59
Poha,294.53,35.05,6.09,14.14,bowl,160.78,19.13,3.32,7.72
Poha with curd (Poha aur dahi),173.32,26.72,6.01,4.65,,,,,
Pomegranate raita (Anaar ka raita),72.64,7.15,4.05,3.24,bowl,104.79,10.32,5.84,4.67
Poori,737.63,8.22,1.35,77.61,poori,921.31,10.27,1.69,96.93
Poshtik chilla/cheela,159.53,27.47,4.85,3.04,cheela,115.37,19.86,3.51,2.20
Poshtik cutlet,496.45,7.39,2.00,50.94,cutlet,1195.62,17.79,4.83,122.68
Poshtik khichdi/khichri,93.37,15.64,3.04,1.88,plate,336.43,56.35,10.97,6.79
Poshtik namak paras,613.39,19.52,6.49,56.58,piece,79.13,2.52,0.84,7.30
Potato aigrettes,530.03,8.01,2.35,54.24,aigrette,219.41,3.31,0.97,22.45
Potato bonda (Aloo bonda),632.84,4.53,1.09,67.80,bonda,1134.09,8.13,1.95,121.50
Potato canjee (Aloo canjee),16.26,2.69,0.44,0.39,glass,31.76,5.24,0.85,0.76
Potato capsicum (Shimla mirch aloo),125.53,8.72,1.41,9.33,bowl,189.24,13.14,2.12,14.07
Potato cauliflower (Aloo gobhi),106.18,5.99,1.90,8.13,bowl,186.61,10.53,3.33,14.28
Potato curry (Aloo ki sabzi),89.56,10.42,1.52,4.47,bowl,180.52,21.00,3.06,9.01
Potato fenugreek (Aloo methi),135.15,8.47,2.25,10.04,bowl,276.04,17.30,4.59,20.51
Potato halwa (Aloo ka halwa),151.66,29.18,1.53,3.48,bowl,239.69,46.11,2.41,5.51
Potato kofta curry (Aloo kofta curry),455.40,2.78,0.56,49.08,bowl,4645.42,28.40,5.71,500.70
Potato nests,111.62,11.05,5.71,4.77,nest,213.71,21.15,10.93,9.12
Potato pakora/pakoda (Aloo pakoda),677.19,6.04,1.90,71.84,plate,4567.65,40.76,12.84,484.55
Potato parantha/paratha (Aloo ka parantha/paratha),205.04,23.92,3.70,10.22,parantha,191.43,22.33,3.45,9.54
Potato pickle (Aloo ka achaar),369.14,7.87,2.07,36.46,bowl,173.17,3.69,0.97,17.10
Potato raita (Aloo ka raita),75.38,10.24,4.22,2.04,bowl,118.85,16.14,6.65,3.22
Potato salad (Aloo ka salaad),89.91,11.19,1.40,4.40,bowl,212.18,26.41,3.30,10.38
Potato samosa (Aloo ka samosa),577.39,9.21,1.71,59.19,samosa,813.76,12.97,2.41,83.42
Potato stuffed poori (Aloo ki poori),776.74,9.40,1.52,81.35,poori,925.87,11.21,1.81,96.97
Potato with curd,73.18,12.01,3.19,1.33,,,,,
Prawn curry (with coconut) (Jhinga curry),109.55,3.10,8.54,6.93,bowl,313.44,8.88,24.44,19.83
Prawn sandwich,169.65,11.89,10.36,9.27,sandwich,386.79,27.11,23.62,21.14
Puffed wheat (Murmure/Moori),113.32,15.67,3.62,4.04,bowl,315.02,43.56,10.06,11.24
Puffy omelette/omlet,188.15,0.08,8.82,16.84,egg,142.99,0.06,6.70,12.80
Pulse mix,83.29,16.00,3.16,0.54,,111.06,21.33,4.21,0.73
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),186.18,17.02,1.75,12.66,piece,111.94,10.24,1.05,7.61
Pumpkin cookies ,218.40,44.69,2.51,3.93,cookie,186.63,38.19,2.15,3.36
Pumpkin halwa (Kaddu ka halwa),190.27,27.60,1.33,8.81,bowl,295.00,42.80,2.06,13.66
Pumpkin kheer (Kaddu ki kheer),86.35,10.44,2.76,3.86,bowl,231.16,27.94,7.39,10.34
Pumpkin raita (Kaddu ka raita),55.60,6.02,3.74,1.88,bowl,94.53,10.23,6.35,3.20
Pumpkin soup,40.05,2.08,0.47,3.20,bowl,127.51,6.61,1.50,10.19
Putharekulu,318.30,59.61,3.66,7.55,roll,170.29,31.89,1.96,4.04
Queen of pudding,132.92,16.35,5.51,5.38,large slice,432.99,53.26,17.94,17.52
Quinoa khichdi/khichri,64.01,8.83,3.18,1.59,bowl,203.71,28.11,10.12,5.06
Radish parantha/paratha (Mooli ka parantha/paratha),183.52,20.54,3.30,9.53,parantha,183.58,20.55,3.30,9.53
Rainbow sandwich,272.75,34.26,7.75,12.54,triangle,130.44,16.39,3.70,6.00
Rajbogh,133.70,28.16,1.71,2.28,piece,420.55,88.57,5.38,7.17
Rasam powder (Rasam masala),267.96,25.19,12.04,11.80,,,,,
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),24.41,2.85,1.11,0.87,curry bowl,96.27,11.22,4.36,3.45
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),26.74,3.37,1.13,0.88,curry bowl,104.25,13.14,4.41,3.44
Rasbhari,130.05,28.27,1.52,1.92,piece,405.44,88.13,4.73,5.98
Rasgulla,118.64,25.79,1.38,1.75,piece,405.44,88.13,4.73,5.98
Rasmalai,135.55,29.17,1.61,2.11,piece,430.28,92.60,5.12,6.69
Raspberry bavarian cream,150.10,17.82,3.34,7.88,small mould,355.75,42.24,7.92,18.67
Raspberry shortbread cookies,441.12,61.25,3.00,21.25,cookie,163.49,22.70,1.11,7.88
Raw banana kofta curry (Kela kofta curry),627.27,3.40,0.62,67.98,bowl,4561.33,24.76,4.52,494.33
Raw mango chutney (Kachhe aam/Kairi ki chutney),193.13,49.94,0.51,0.16,,,,,
Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,tall glass,96.44,24.29,0.42,0.07
Raw papaya with coconut (Papaya thoran),132.75,5.58,1.54,11.42,bowl,198.51,8.34,2.30,17.08
Raw turnip with coconut ,132.15,5.78,1.80,11.47,bowl,197.61,8.64,2.70,17.15
Ribbon sandwich,239.26,24.76,6.26,13.37,ribbon,102.29,10.58,2.68,5.72
Rice dal porridge (Chawal dal ki khichdi/khichri),383.33,65.04,10.80,8.33,,127.78,21.68,3.60,2.78
Rice flakes (Chiwda/Aval),112.44,15.57,3.62,3.99,bowl,312.58,43.28,10.06,11.09
Rice flakes and roasted channa ,333.40,71.94,10.57,2.94,,,,,
Rice kheer (Chawal ki kheer),75.03,10.05,2.30,2.97,bowl,300.94,40.31,9.21,11.92
Rice moong dal cheela (Chawal aur moong dal ka cheela),798.26,11.13,2.74,82.44,cheela,1163.47,16.22,3.99,120.15
Rice murukku,593.99,33.29,5.41,48.22,piece,183.29,10.27,1.67,14.88
Rice puttu (Ari puttu),81.98,11.82,1.26,3.13,puttu,344.41,49.66,5.29,13.13
Rice upma,151.27,17.96,2.63,7.46,bowl,160.73,19.08,2.79,7.92
Rich chocolate mousse,188.26,10.84,7.96,12.19,cup,396.29,22.81,16.75,25.65
Roast chicken,199.90,0.10,20.49,13.06,joint,266.62,0.13,27.32,17.42
Roast potatoes ,87.32,14.52,1.53,2.35,potato,67.49,11.22,1.18,1.82
Roasted cauliflower steak,78.68,2.02,2.05,6.70,cauliflower steak,84.48,2.17,2.20,7.19
Roghan josh,139.59,4.93,9.56,9.02,bowl,329.44,11.63,22.56,21.29
Rolled sandwich,293.07,34.69,6.45,15.29,sandwich,64.47,7.63,1.42,3.36
Royal icing,332.58,86.53,1.74,0.02,,,,,
Russian salad,114.83,6.50,4.26,7.84,bowl,363.43,20.57,13.49,24.80
Saffron biscuit (Kesar biscuit),458.61,59.70,6.05,22.01,biscuit,50.51,6.58,0.67,2.42
Saffron milk (Kesariya doodh),102.18,12.64,3.17,4.57,glass,268.47,33.22,8.33,12.00
Sago cutlet/vadas (Sabudana cutlet/vadas),558.76,11.23,0.56,56.97,cutlet,1178.05,23.67,1.19,120.11
Sago khitchdi/khichri (Sabudana khitchdi/khichri),187.16,22.41,2.72,10.10,bowl,507.89,60.82,7.38,27.41
Sajina,345.26,66.87,10.81,3.03,,172.63,33.43,5.41,1.52
Salami sandwich,255.59,21.54,8.70,15.51,triangle,189.78,15.99,6.46,11.52
Sambar,96.92,10.57,3.35,4.38,bowl,249.32,27.19,8.62,11.27
Sambar powder (Sambar masala),297.46,23.38,12.50,15.58,,,,,
Sarson ka saag,87.84,5.33,3.00,5.86,bowl,124.26,7.53,4.25,8.29
Sattu drink,23.38,5.16,0.56,0.14,glass,124.87,27.54,3.02,0.74
Saunth/Sonth chutney with ginger,84.22,20.62,0.28,0.11,tablespoon,27.71,6.79,0.09,0.03
Saunth/Sonth chutney with tamarind/imli,141.53,33.55,1.01,0.15,teaspoon,25.05,5.94,0.18,0.03
Sauteed radishes with green beans,94.32,6.04,2.41,6.61,plate,91.11,5.83,2.33,6.38
Savoury cheese horns,295.15,21.38,5.66,20.71,horn,218.16,15.80,4.18,15.30
Savoury puffs,190.79,10.80,9.51,15.24,puff,264.00,14.95,13.16,21.09
Schezwan chutney,205.19,10.79,3.33,17.72,box,1553.26,81.69,25.18,134.16
Scotch egg,676.89,1.91,4.05,72.62,piece,2318.05,6.53,13.87,248.70
Scrambled egg (Ande ki bhurji),155.97,1.35,10.29,12.21,egg,109.18,0.95,7.20,8.55
Semolina burfi (Suji/Rava burfi),348.67,47.10,3.47,16.86,piece,163.25,22.05,1.62,7.90
Semolina cake (Suji/Rava cake),374.14,31.32,6.58,25.18,square,220.74,18.48,3.88,14.86
Semolina carrot vada (Suji gajar vada),699.53,6.52,1.56,74.07,vada,1138.48,10.61,2.54,120.56
Semolina dhokla (Suji/Rava dhokla),194.91,30.86,5.44,5.20,plate,195.36,30.94,5.45,5.21
Semolina dosa (Suji/Rava dosa),227.05,32.84,7.30,7.12,dosa,166.69,24.11,5.36,5.22
Semolina halwa (Suji ka halwa),225.65,24.67,2.16,13.38,bowl,360.18,39.37,3.45,21.36
Semolina idli (Suji/Rava idli),206.39,33.67,9.34,3.47,idli,61.14,9.98,2.77,1.03
Semolina kheer (Suji/Rava kheer),113.21,15.88,3.43,4.20,bowl,260.87,36.60,7.90,9.69
Semolina ladoo with coconut (Suji/Rava aur nariyal ke ladoo ),464.43,50.90,5.68,27.03,ladoo,168.94,18.52,2.06,9.83
Semolina ladoo with khoya (Suji/Rava aur khoye ke ladoo ),428.71,52.86,6.71,21.86,ladoo,126.12,15.55,1.97,6.43
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),441.84,48.02,5.44,25.45,piece,138.63,15.07,1.71,7.99
Semolina milk drink (Thari kanji),44.16,6.93,0.98,1.36,cup,116.35,18.25,2.59,3.59
Semolina porridge (Suji/Rava daliya),100.89,12.39,3.75,4.08,bowl,280.49,34.44,10.43,11.35
Semolina upma (Suji/Rava upma),147.89,16.31,3.30,7.49,bowl,157.14,17.33,3.51,7.96
Sesame biscuit (Til ke biscuit),424.03,53.65,8.27,19.34,biscuit,61.66,7.80,1.20,2.81
Sesame chickpeas brittle (Til aur channe ki chikki),282.74,50.49,8.50,4.66,piece,98.96,17.67,2.97,1.63
Sesame ladoo (Til ke ladoo),396.96,43.50,10.70,19.64,ladoo,109.16,11.96,2.94,5.40
Sesame toast,495.19,11.15,1.90,49.38,toasted triangle,309.18,6.96,1.19,30.83
Sev (Omapodi/Karapusa),609.14,12.87,5.12,60.08,plate,834.22,17.63,7.01,82.27
Shahi chicken masala,163.70,4.07,9.82,12.02,bowl,571.54,14.19,34.30,41.96
Shahi keema kofta curry,418.13,1.73,4.14,43.83,bowl,2580.27,10.69,25.55,270.44
Shahi paneer,156.50,6.64,5.06,12.34,bowl,405.86,17.22,13.13,32.01
Shahi suji halwa,382.34,44.44,3.48,21.73,bowl,375.84,43.68,3.42,21.36
Shahi tukre,189.81,41.46,2.76,2.54,tukra,193.43,42.25,2.82,2.59
Shammi kebab,685.69,3.54,4.52,72.61,kabab,1173.95,6.06,7.73,124.31
Shepherd's pie (vegetarian),135.63,12.03,5.04,7.30,bowl,367.11,32.57,13.64,19.77
Shepherd's pie (with minced meat),142.78,8.06,7.45,8.88,dish,267.88,15.12,13.98,16.66
Shishu ahar,93.37,17.42,2.61,1.43,,124.49,23.22,3.48,1.91
Short bread cookies,443.09,64.82,6.03,17.98,biscuit,77.82,11.38,1.06,3.16
Short crust pastry,422.10,44.72,6.11,23.98,,,,,
Small onion pickle ,16.86,2.76,1.65,0.64,bowl,18.92,3.10,1.85,0.72
Snow flakes pudding,95.21,8.07,4.67,4.97,bowl,302.78,25.67,14.87,15.80
Soft Custard (stirred),109.18,11.19,5.01,5.07,bowl,272.41,27.92,12.51,12.64
Sour cream potato salad,121.90,9.05,2.89,8.13,small bowl,276.51,20.54,6.55,18.43
Sour lentils (Khatti dal),34.79,6.04,2.22,0.12,curry bowl,126.18,21.90,8.04,0.45
Soya chikki,423.70,62.89,7.18,15.51,piece,318.83,47.32,5.41,11.67
Soya chunks and peas (Nutrinugget matar),82.62,5.82,3.03,5.11,bowl,184.17,12.97,6.75,11.39
Soya chunks korma (Nutrinugget korma),131.43,7.67,3.86,9.50,bowl,326.86,19.08,9.60,23.62
Soya chunks sweet and sour (Nutrinugget sweet and sour),500.94,3.27,2.85,55.99,bowl,2312.30,15.11,13.17,258.45
Soya roti,283.96,40.03,9.18,9.23,roti,142.93,20.15,4.62,4.64
Soya seekh kebab,115.05,10.00,5.40,5.88,kabab,65.75,5.72,3.08,3.36
Soyabean curry,163.28,6.76,10.43,10.19,bowl,195.80,8.11,12.50,12.22
Soyabean muthias,839.33,3.70,2.46,90.45,muthia,1126.44,4.97,3.30,121.39
Soyabean namak paras,838.46,4.65,2.65,89.83,plate,2294.25,12.72,7.25,245.78
Soyabean tikki,698.17,4.39,3.53,74.02,tikki,1156.34,7.26,5.85,122.59
Spaghetti and cheese balls in tomato sauce,508.32,7.82,2.41,52.08,plate,4908.38,75.46,23.26,502.89
Spaghetti bolognese,97.43,10.04,9.35,9.51,shallow dish,364.68,37.59,35.00,35.62
Spaghetti with meat balls and tomato sauce,158.13,10.46,5.61,10.64,shallow dish,878.84,58.12,31.16,59.14
Spaghetti with paneer balls and tomato sauce,158.54,12.72,3.95,10.44,shallow dish,785.99,63.09,19.60,51.75
Spanish omelette/omlet,157.45,5.10,8.25,11.44,egg,239.32,7.75,12.54,17.39
Spanish rice,164.24,31.10,4.19,2.23,plate,357.22,67.64,9.11,4.86
Spicy chutney sandwich,249.58,34.03,8.74,9.58,sandwich,143.92,19.62,5.04,5.52
Spicy corn chaat ,479.80,11.45,4.61,46.55,plate,2659.17,63.44,25.53,258.00
Spinach and paneer souffle ,186.19,9.64,7.56,13.49,souffle dish,839.74,43.48,34.10,60.86
