food_name,energy_kcal,carb_g,protein_g,fat_g,servings_unit,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g
Chapati/Roti,202.31,35.65,5.88,3.56,chapati,72.83,12.83,2.12,1.28
Charlotte rousse,188.29,34.08,3.95,4.78,bowl,476.36,86.22,10.01,12.10
Chat masala,222.58,23.87,8.19,9.91,,,,,
Checker board sandwich,348.37,25.94,7.37,24.65,square,128.17,9.54,2.71,9.07
Cheese and chilli sandwich ,218.11,27.40,6.80,9.78,triangle,121.60,15.28,3.79,5.45
Cheese and mushroom omelette/omlet,205.63,1.68,9.69,17.82,egg,263.20,2.15,12.40,22.81
Cheese and mushroom tart,246.10,21.43,5.51,15.28,tart,165.50,14.41,3.70,10.28
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.10,8.20,12.80,triangle,143.68,16.22,4.57,7.13
Cheese and tomato pancake,147.39,10.66,5.15,9.28,pancake,162.49,11.76,5.67,10.24
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,triangle,141.73,15.68,4.61,7.15
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,21.42,6.82,12.95,triangle,170.12,16.22,5.17,9.81
Cheese balls,681.28,4.81,2.21,72.57,piece,402.95,2.84,1.31,42.92
Cheese noodle ring,133.67,13.96,6.22,6.12,plate,531.34,55.47,24.74,24.32
Cheese open sandwich,274.07,28.42,9.84,14.24,sandwich,150.74,15.63,5.41,7.83
Cheese patties,324.01,22.23,7.38,22.67,patty,336.84,23.11,7.67,23.57
Cheese pizza,249.50,30.62,5.79,12.43,piece,327.10,40.15,7.59,16.30
Cheese pudding,285.01,19.27,11.29,18.37,large slice,343.59,23.23,13.61,22.15
Cheese sauce,194.76,7.08,7.68,15.12,,,,,
Cheese soup,41.13,1.87,12.39,17.07,bowl,182.97,8.31,55.11,75.94
Cheese straws,382.00,30.61,9.83,24.28,straw,36.85,2.95,0.95,2.34
Cheese toast,785.37,5.49,1.98,84.11,toast,1138.78,7.95,2.88,121.96
Chenna murki,252.69,36.01,10.46,8.20,bowl,227.74,32.46,9.43,7.39
Cherry and walnut cookies,422.60,59.35,5.63,18.75,cookies,74.27,10.43,0.99,3.30
Chhena poda,344.57,33.64,13.68,17.94,slice,255.84,24.98,10.16,13.32
Chicken and cheese souffle,182.35,3.47,9.07,14.74,souffle dish,356.50,6.78,17.73,28.81
Chicken and corn open sandwich,188.16,19.21,8.63,8.83,sandwich,203.92,20.82,9.35,9.57
Chicken and tomato towers,100.55,2.36,6.90,6.99,stuffed tomato,265.55,6.24,18.22,18.46
Chicken chowmein,151.33,13.30,6.33,8.23,plate,521.04,45.80,21.80,28.35
Chicken consomme (Clear chicken soup),47.94,1.19,11.47,12.02,soup bowl,108.31,2.68,25.91,27.15
Chicken curry,129.22,3.38,11.79,7.57,bowl,320.38,8.38,29.24,18.77
Chicken kebab,729.41,1.11,3.71,78.89,kabab,903.73,1.38,4.59,97.74
Chicken korma,147.96,5.43,9.83,9.67,bowl,513.46,18.84,34.12,33.57
Chicken lasagne,187.49,13.90,10.45,10.36,plate,964.64,71.53,53.78,53.31
Chicken manchurian,142.34,6.06,9.53,11.96,plate,632.99,26.96,42.40,53.18
Chicken pakora/pakoda,590.09,4.55,6.03,60.98,pakora,404.34,3.12,4.13,41.78
Chicken pulao,108.24,11.17,6.07,8.48,plate,723.18,74.61,40.59,56.63
Chicken salad,338.19,1.30,15.33,30.26,bowl,835.34,3.22,37.86,74.73
Chicken sandwich,253.27,25.38,13.12,11.75,triangle,147.53,14.78,7.64,6.84
Chicken sandwich (toasted),167.37,18.82,12.08,5.32,toasted triangle,143.10,16.09,10.33,4.54
Chicken stew,127.55,4.44,7.19,8.91,bowl,378.63,13.19,21.35,26.46
Chicken stock,29.88,0.37,3.69,1.51,cup,112.33,1.38,13.86,5.68
Chicken sweet and sour,445.09,2.67,6.92,47.59,bowl,2499.60,14.97,38.86,267.27
Chicken sweet corn soup,28.32,1.63,14.48,12.59,soup bowl,68.46,3.95,34.99,30.44
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),285.78,22.62,12.58,16.77,sandwich,190.40,15.07,8.38,11.17
Chicken yakhni,99.00,0.78,10.66,6.10,bowl,249.63,1.96,26.88,15.38
Chickpea flour cookies (Sweet besan rounds/cookies),207.01,39.64,4.29,3.42,piece,51.75,9.91,1.07,0.86
Chickpeas curry (Safed channa curry),163.43,19.98,6.10,6.84,bowl,195.99,23.96,7.31,8.21
Chilli chicken,198.83,2.86,9.57,16.56,bowl,769.13,11.06,37.03,64.07
Chilli paneer,777.51,3.31,2.10,84.01,bowl,2308.28,9.82,6.24,249.41
Chinese cabbage and meat ball soup,484.31,1.43,5.21,56.57,soup bowl,2254.25,6.65,24.25,263.32
Chinese fried rice,120.58,13.40,4.05,5.43,plate,423.65,47.08,14.24,19.09
Chocochip ice cream,241.45,16.75,4.23,17.93,ice cream cup,481.38,33.40,8.43,35.74
Chocolate biscuit,379.76,51.56,5.88,17.09,biscuit,57.49,7.81,0.89,2.59
Chocolate burfi,339.33,33.15,13.00,17.86,burfi,110.28,10.78,4.22,5.81
Chocolate butter icing,469.59,61.72,3.21,24.77,tablespoon,91.10,11.97,0.62,4.80
Chocolate cake,335.61,45.14,6.01,15.18,piece,197.59,26.57,3.54,8.94
Chocolate chiffon cake,311.71,37.87,5.76,15.80,slice,227.06,27.59,4.20,11.51
Chocolate chip cookies,425.29,57.98,5.79,19.38,cookie,93.03,12.68,1.27,4.24
Chocolate cream shells,427.17,59.26,5.10,19.34,shell,98.20,13.62,1.17,4.45
Chocolate eclairs,239.42,26.22,4.24,13.50,éclair,405.21,44.38,7.17,22.84
Chocolate eggless cake,312.01,43.45,6.66,13.19,piece,357.25,49.75,7.63,15.10
Chocolate glace icing,436.29,62.43,3.22,20.80,tablespoon,104.44,14.95,0.77,4.98
Chocolate ice cream,177.70,15.41,4.47,11.25,ice-cream cup,659.28,57.17,16.58,41.72
Chocolate meringue pie,214.76,28.80,4.98,9.17,slice,395.69,53.06,9.17,16.90
Chocolate pastry,243.37,32.24,7.05,10.12,pastry,211.93,28.07,6.14,8.82
Chocolate pudding,211.96,29.59,3.55,9.48,large slice,351.20,49.03,5.88,15.70
Chocolate sauce,263.20,43.21,1.91,10.39,tablespoon,43.87,7.20,0.32,1.73
Chocolate souffle,189.32,14.74,7.88,11.36,souffle cup,416.50,32.43,17.33,25.00
Chocolate sponge cake,239.86,39.54,9.13,5.51,piece,168.70,27.81,6.42,3.87
Chocolate swiss roll,306.08,26.97,6.01,19.76,swiss roll,145.00,12.78,2.85,9.36
